effect	file	duration_s	source_path
select	select.ogg	0.7359	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/BUTTONS/BUTTON_Deep_Smooth_Click_mono.wav
diceroll	diceroll.ogg	0.1497	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/FOLEY/COINS/COINS_Rattle_02_mono.wav
diceland	diceland.ogg	0.3637	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/IMPACTS/Stone/IMPACT_Stone_On_Stone_08_mono.wav
dice_edge	dice_edge.ogg	0.0806	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/IMPACTS/Stone/IMPACT_Stone_On_Stone_07_mono.wav
dice_settle	dice_settle.ogg	0.1665	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/IMPACTS/Stone/IMPACT_Stone_On_Wood_Hollow_mono.wav
voice	voice.ogg	0.0349	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/USER_INTERFACES/Beeps/UI_Beep_Single_Clean_Dark_stereo.wav
dice-math-1	dice-math-1.ogg	0.1568	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/USER_INTERFACES/Beeps/UI_Beep_Double_Quick_Smooth_stereo.wav
dice-math-2	dice-math-2.ogg	0.0904	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/USER_INTERFACES/Beeps/UI_Beep_Single_Clean_Smoth_stereo.wav
monster-pain	monster-pain.ogg	0.4626	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MONSTERS_CREATURES/MONSTER_Grunt_Hurt_mono.wav
player-pain	player-pain.ogg	0.4265	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/VOICES/Grunts_Groans_Hurt/GRUNT_Male_Hurt_03_mono.wav
death	death.ogg	1.6635	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MONSTERS_CREATURES/MONSTER_Groan_Long_mono.wav
teleport	teleport.ogg	0.9568	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Sweep_mono.wav
poison-proc	poison-proc.ogg	1.0610	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/GORE_SPLATS/GORE_Stab_Bubbles_mono.wav
frost-proc	frost-proc.ogg	0.9745	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Flame_01_mono.wav
fireball	fireball.ogg	0.8081	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Flame_02_mono.wav
lightning-bolt	lightning-bolt.ogg	0.7387	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Power_mono.wav
monster-death	monster-death.ogg	1.2862	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MONSTERS_CREATURES/MONSTER_Groan_03_mono.wav
maxhit	maxhit.ogg	0.2851	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/BREAKS_SNAPS/BREAK_Bone_or_Neck_mono.wav
heartbeat	heartbeat.ogg	0.9874	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Dark_Pulse_Echo_Subtle_stereo.wav
curio	curio.ogg	3.2929	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/MAGIC_SPELLS/MAGIC_SPELL_Slow_Fade_In_Bright_Pad_stereo.wav
