# path	seed	style
classes/hero.png	1478921961	portrait
classes/elf.png	1126286087	portrait
classes/superhero.png	1344700169	portrait
classes/wizard.png	528992744	portrait
strategic-combat/classes/hero.png	286895328	darkest
strategic-combat/classes/elf.png	223681011	darkest
strategic-combat/classes/superhero.png	492912552	darkest
strategic-combat/classes/wizard.png	1616391157	darkest
treasures/huge-diamond.png	142674972	item	1024x1024
treasures/dragon-hoard.png	1878743966	item	1024x1024
items/torch.png	1892193038	item	1024x1024
items/shield.png	504720378	item	1024x1024
items/secret-door-card.png	705330858	item	1024x1024
items/magic-bow.png	2027817865	item	1024x1024
items/teleport-scroll.png	771259898	item	1024x1024
items/fire-ball-scroll.png	581674033	item	1024x1024
items/key-medallion.png	842197332	item	1024x1024
items/staff.png	81884056	item	1024x1024
events/rest.png	1755558996	darkest	1024x1024
screens/you-died.png	1068299094	dosrpg	1024x1024
markers/player-body.png	2026908375	dark	1024x1024
markers/cursed-rune.png	573645826	dark	1024x1024
rooms/barracks.png	932087979	dosrpg	1024x1024
rooms/stone-room.png	1539766951	dosrpg	1024x1024
rooms/torture-chamber.png	438147552	dosrpg	1024x1024
rooms/wizards-lab.png	2108435971	dosrpg	1024x1024
rooms/wizards-treasure.png	740685349	dosrpg	1024x1024
rooms/kings-library.png	818364723	dosrpg	1024x1024
rooms/kings-treasure.png	1661954063	dosrpg	1024x1024
rooms/queens-armor.png	1947822846	dosrpg	1024x1024
rooms/queens-treasure.png	496900893	dosrpg	1024x1024
rooms/the-crypt.png	1879011637	dosrpg	1024x1024
events/curio-chest.png	242947744	darkest	1024x1024
events/fountain.png	959483913	darkest	1024x1024
events/shrine.png	939277640	darkest	1024x1024
events/gamblers-altar.png	642031333	darkest	1024x1024
events/hooded-peddler.png	1382523853	darkest	1024x1024
events/idol.png	47037057	darkest	1024x1024
events/fallen-adventurer.png	108519377	darkest	1024x1024
events/glowing-mushrooms.png	1881936875	darkest	1024x1024
events/rune-obelisk.png	1298538739	darkest	1024x1024
events/weapon-cache.png	1603895508	darkest	1024x1024
events/mimic.png	1262863253	darkest	1024x1024
strategic-combat/monsters/animals/giant-rat.png	454636994	darkest	1024x1024
strategic-combat/monsters/animals/giant-lizard.png	1147146195	darkest	1024x1024
strategic-combat/monsters/beasts/goblin.png	2144861166	darkest	1024x1024
strategic-combat/monsters/undead/skeleton.png	1443283573	darkest	1024x1024
strategic-combat/monsters/beasts/hobgoblin.png	230655066	darkest	1024x1024
strategic-combat/monsters/animals/giant-spider.png	2102975605	darkest	1024x1024
strategic-combat/monsters/undead/ghoul.png	1619885312	darkest	1024x1024
strategic-combat/monsters/beasts/gargoyle.png	382109048	darkest	1024x1024
strategic-combat/monsters/humanoids/evil-hero.png	773619741	darkest	1024x1024
strategic-combat/monsters/animals/giant-snake.png	712052535	darkest	1024x1024
strategic-combat/monsters/beasts/werewolf.png	232453928	darkest	1024x1024
strategic-combat/monsters/beasts/ogre.png	447637106	darkest	1024x1024
strategic-combat/monsters/undead/mummy.png	1499084806	darkest	1024x1024
strategic-combat/monsters/beasts/troll.png	1475611853	darkest	1024x1024
strategic-combat/monsters/undead/vampire.png	828701556	darkest	1024x1024
strategic-combat/monsters/beasts/giant.png	40471200	darkest	1024x1024
strategic-combat/monsters/humanoids/witch.png	802959041	darkest	1024x1024
strategic-combat/monsters/misc/green-slime.png	1349267983	darkest	1024x1024
strategic-combat/monsters/insects/purple-worm.png	704150660	darkest	1024x1024
strategic-combat/monsters/misc/black-pudding.png	2061215907	darkest	1024x1024
strategic-combat/monsters/humanoids/evil-wizard.png	1567273829	darkest	1024x1024
strategic-combat/monsters/beasts/red-dragon.png	925256965	darkest	1024x1024
strategic-combat/monsters/beasts/blue-dragon.png	212660815	darkest	1024x1024
strategic-combat/events/mimic.png	190739444	darkest	1024x1024
strategic-combat/treasures/silver-cup.png	1597847666	darkest	1024x1024
strategic-combat/treasures/sack-of-gold.png	1983887582	darkest	1024x1024
strategic-combat/treasures/silver-ring.png	1459426399	darkest	1024x1024
strategic-combat/treasures/gold-cup.png	1604376111	darkest	1024x1024
strategic-combat/treasures/gold-ring.png	501478188	darkest	1024x1024
strategic-combat/treasures/silver-coffer.png	919147537	darkest	1024x1024
strategic-combat/treasures/jade-idol.png	336691541	darkest	1024x1024
strategic-combat/treasures/huge-emerald.png	1787094177	darkest	1024x1024
strategic-combat/treasures/huge-sapphire.png	850225389	darkest	1024x1024
strategic-combat/treasures/silver-necklace.png	2064888434	darkest	1024x1024
strategic-combat/treasures/huge-ruby.png	7941117	darkest	1024x1024
strategic-combat/treasures/gold-necklace.png	12575381	darkest	1024x1024
strategic-combat/treasures/huge-diamond.png	302746650	darkest	1024x1024
strategic-combat/treasures/crown-of-gems.png	768529288	darkest	1024x1024
strategic-combat/treasures/dragon-hoard.png	320861329	darkest	1024x1024
strategic-combat/items/magic-sword-1.png	1143590660	darkest	1024x1024
strategic-combat/items/torch.png	825475902	darkest	1024x1024
strategic-combat/items/esp-medallion.png	663825483	darkest	1024x1024
strategic-combat/items/shield.png	1227023269	darkest	1024x1024
strategic-combat/items/elf-boots.png	1342463312	darkest	1024x1024
strategic-combat/items/secret-door-card.png	25670537	darkest	1024x1024
strategic-combat/items/crystal-ball.png	1735384596	darkest	1024x1024
strategic-combat/items/magic-bow.png	1110233236	darkest	1024x1024
strategic-combat/items/magic-sword-2.png	1324452726	darkest	1024x1024
strategic-combat/items/teleport-scroll.png	546182759	darkest	1024x1024
strategic-combat/items/magic-armor.png	2089884366	darkest	1024x1024
strategic-combat/items/fire-ball-scroll.png	1551091008	darkest	1024x1024
strategic-combat/items/lightning-scroll.png	1251648254	darkest	1024x1024
