effect	file	duration_s	source_path
secret	secret.ogg	0.5569	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Powerups/8BIT_RETRO_Powerup_Spawn_Flash_Fading_mono.wav
key	key.ogg	0.1808	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Coin_Collect/8BIT_RETRO_Coin_Collect_Two_Note_Bright_Slow_mono.wav
treasure	treasure.ogg	0.1627	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Coin_Collect/8BIT_RETRO_Coin_Collect_Two_Note_Twinkle_Fast_mono.wav
hit	hit.ogg	0.0863	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Zap_mono.wav
crit	crit.ogg	0.1629	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Deep_Zap_mono.wav
search	search.ogg	0.0873	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Beeps/8BIT_RETRO_Beep_Dirty_mono.wav
lose	lose.ogg	3.2956	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Explosions/8BIT_RETRO_Explosion_Long_Sweep_Down_mono.wav
savebad	savebad.ogg	0.5064	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Explosions/8BIT_RETRO_Explosion_Short_Distorted_Drop_mono.wav
boom	boom.ogg	0.3961	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Explosions/8BIT_RETRO_Explosion_Short_Deep_mono.wav
fizzle	fizzle.ogg	1.0291	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Explosions/8BIT_RETRO_Explosion_Wobble_mono.wav
select	select.ogg	0.0453	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Beeps/8BIT_RETRO_Beep_1_Short_mono.wav
diceroll	diceroll.ogg	0.3206	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Various/8BIT_RETRO_Movement_Effect_Rapid_Fade_loop_mono.wav
diceland	diceland.ogg	0.0628	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Thump_mono.wav
dice_edge	dice_edge.ogg	0.0482	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Distorted_Tap_mono.wav
dice_settle	dice_settle.ogg	0.0478	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Quick_Deep_mono.wav
voice	voice.ogg	0.0191	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Beeps/8BIT_RETRO_Beep_1_Very_Short_mono.wav
dice-math-1	dice-math-1.ogg	0.1317	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Jumping/8BIT_RETRO_Jump_Three_Note_Up_Rapid_mono.wav
dice-math-2	dice-math-2.ogg	0.1147	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Coin_Collect/8BIT_RETRO_Coin_Collect_One_Note_Twinkle_Short_mono.wav
monster-pain	monster-pain.ogg	0.0483	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Bright_Reverse_mono.wav
player-pain	player-pain.ogg	0.0987	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Quick_Dark_Drop_mono.wav
death	death.ogg	0.1730	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Jumping/8BIT_RETRO_Jump_Slide_Up_Down_Deep_mono.wav
teleport	teleport.ogg	0.8522	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Powerups/8BIT_RETRO_Powerup_Spawn_Swoosh_mono.wav
poison-proc	poison-proc.ogg	0.0689	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Beeps/8BIT_RETRO_Beep_Zap_mono.wav
frost-proc	frost-proc.ogg	0.0266	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Beeps/8BIT_RETRO_Beep_Zap_Fast_mono.wav
fireball	fireball.ogg	0.3067	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Explosions/8BIT_RETRO_Explosion_Short_Bright_mono.wav
lightning-bolt	lightning-bolt.ogg	1.8395	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Explosions/8BIT_RETRO_Explosion_Zap_Destroy_mono.wav
monster-death	monster-death.ogg	0.1433	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Distorted_Fade_mono.wav
maxhit	maxhit.ogg	0.1185	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Dirty_Thud_mono.wav
heartbeat	heartbeat.ogg	0.0478	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Hits_Bumps/8BIT_RETRO_Hit_Bump_Quick_Deep_mono.wav
curio	curio.ogg	0.6063	/mnt/windows/e/Music/!Samples/HB - Unity Universal SoundFX/8BIT/Coin_Collect/8BIT_RETRO_Coin_Collect_Two_Note_Off_Tune_Twinkle_mono.wav
